Mad Max how are the ratings?,OtherClass
look for movie directors,LookupDirectors
who starred in The Hobbit,LookupActors
drama,SearchMovies
I'd like to see a recent drama,SearchMovies
show me whats playing,SearchMovies
something sexy,SearchMovies
good day,ClosingTalk
hi,OpeningTalk
I'd like to see a recent comedy,SearchMovies
whats playing,SearchMovies
R,SearchMovies
who is the producer of Vacation?,LookupDirectors
What current movies are playing?,SearchMovies
help,RepairTalk
nvm,RepairTalk
all current any rating movies,SearchMovies
r,SearchMovies
comedy,SearchMovies
Ajay,GiveName
I want to look up movie stars,LookupActors
show me movies,SearchMovies
What current movies are playing?,SearchMovies
upcoming,SearchMovies
Is Pixels an action or comedy?,OtherClass
I'd like to see a recent comedy,SearchMovies
need to run,ClosingTalk
Horror,SearchMovies
Sorry,SmallTalk
Beverley,GiveName
The Martian,OtherClass
what's playing,SearchMovies
comedy,SearchMovies
asdf,OtherClass
whats playing,SearchMovies
What actors are in Sound Mixers?,LookupActors
what were those again?,RepairTalk
whats playing,SearchMovies
whats playing watson?,SearchMovies
hi,OpeningTalk
upcoming movies,SearchMovies
action,SearchMovies
understand English,SmallTalk
how about this weather,SmallTalk
look up a movie,SearchMovies
r,SearchMovies
whats playing??,SearchMovies
horror,SearchMovies
hi,OpeningTalk
action,SearchMovies
What current movies are playing?,SearchMovies
show more movies,OtherClass
toodles,ClosingTalk
action,SearchMovies
Richard,GiveName
no i mean comedy,RepairTalk
PG,SearchMovies
current,SearchMovies
i want to look up movie times,CheckShowtimes
is 99 homes rated r?,OtherClass
I'd like to see a recent comedy,SearchMovies
Eric,GiveName
show me whats playing,SearchMovies
what is 2001 about,SmallTalk
What current movies are playing?,SearchMovies
PG,SearchMovies
logging off,ClosingTalk
I mean,RepairTalk
drama,SearchMovies
Which theatres are playing Pitch Perfect 2,CheckShowtimes
suggest better one,OtherClass
what are the upcoming movies?,SearchMovies
have to leave,ClosingTalk
what movies do you know about,PreSequence
that's not what I mean,RepairTalk
What current movies are playing?,SearchMovies
action,SearchMovies
changed my mind find the fil,OtherClass
what does that stand for,RepairTalk
I meant,RepairTalk
What movies are out now,SearchMovies
hi,OpeningTalk
What types of movie rating are there?,SearchMovies
I'm leaving,ClosingTalk
current,SearchMovies
action movie,SearchMovies
NC-17,SearchMovies
G,SearchMovies
show me more,SearchMovies
show me other movie,SearchMovies
change to pG,RepairTalk
Action,SearchMovies
PG,SearchMovies
What current movies are playing?,SearchMovies
varada,GiveName
no i mean to say all action movies,RepairTalk
Near me,CheckShowtimes
what's the plot of 2001,SmallTalk
family,SearchMovies
out of time,ClosingTalk
greetings,OpeningTalk
What is sound mixers about?,OtherClass
current,SearchMovies
movies starring Johnny Depp,LookupActors
drama,SearchMovies
pg-13,SearchMovies
what are those,RepairTalk
I'd like to see a recent pg comedy,SearchMovies
who stars in mission impossible,LookupActors
nvm,RepairTalk
Can you list me the current PG13-rated Comedy movies?,SearchMovies
hi,OpeningTalk
start over,RepairTalk
drama,SearchMovies
Hi what did you hear about the new Woody Allen?,LookupDirectors
what do you mean by,RepairTalk
cya,ClosingTalk
search for a good movie,SearchMovies
coming soon,SearchMovies
where are the showtimes?,CheckShowtimes
did you catch the game last night,SmallTalk
I'd like to see a recent movie,SearchMovies
action,SearchMovies
what's playing at cinemas,SearchMovies
I'd like to see a recent comedy,SearchMovies
where is Furious 7 showing,CheckShowtimes
upcoming horror,SearchMovies
is it freezing where you are,SmallTalk
I would like to know about current action movies,SearchMovies
George,GiveName
a movie i could watch after work today,SearchMovies
where can I see avengers,CheckShowtimes
show me upcoming movies,SearchMovies
do you know about movies,PreSequence
NC-17,SearchMovies
already told you,RepairTalk
current,SearchMovies
drama,SearchMovies
show me pg,SearchMovies
hi,OpeningTalk
whats playing watson?,SearchMovies
sdf,OtherClass
What's playing?,SearchMovies
upcoming,SearchMovies
comedy,SearchMovies
high of course,OtherClass
Lesa,GiveName
aloha,OpeningTalk
what were those again,RepairTalk
upcoming,SearchMovies
current,SearchMovies
hi,OpeningTalk
What current movies are playing?,SearchMovies
what do you like to do,SmallTalk
romcom,SearchMovies
yo,OpeningTalk
R,SearchMovies
i'm called Dan,GiveName
I wanna to find a director,LookupDirectors
Pitch Perfect 2,OtherClass
R,SearchMovies
hi,OpeningTalk
Shan,GiveName
Jurrassic Park,OtherClass
Romance,SearchMovies
action,SearchMovies
whats playing?,SearchMovies
hi,OpeningTalk
show times,CheckShowtimes
where do you work,SmallTalk
Show me upcoming horror,SearchMovies
What current movies are playing?,SearchMovies
do you know English,SmallTalk
whats playing,SearchMovies
R-rated,SearchMovies
my name is Ralph,GiveName
tips,RepairTalk
Upcoming movies,SearchMovies
later,ClosingTalk
who directed Maze Runner,LookupDirectors
r,SearchMovies
nvm,RepairTalk
comedy,SearchMovies
Desiree,GiveName
I'd like to see a recent drama,SearchMovies
Show me whats playing,SearchMovies
I'd like to see a recent comedy,SearchMovies
what does that mean,RepairTalk
Yes please!  Are there any comedies out right now?,SearchMovies
bonjour,OpeningTalk
hi,OpeningTalk
what's playing,SearchMovies
ted2,OtherClass
Romantic comedy,SearchMovies
Show me whats playing,SearchMovies
DO YOU KNOW ABOUT WEATHER,PreSequence
current,SearchMovies
can you tell me about cars,PreSequence
later,ClosingTalk
movie times,CheckShowtimes
which superstar is in ant-man?,LookupActors
yello,OpeningTalk
what can you tell me,PreSequence
Comedy,SearchMovies
show me comedy movies,SearchMovies
show me whats playing,SearchMovies
pg,SearchMovies
movie rating of 5 stars,OtherClass
Where can I watch Mad Max?,CheckShowtimes
R,SearchMovies
feel good movies,SearchMovies
what movies are playing now?,SearchMovies
r,SearchMovies
comedy,SearchMovies
Another time,SearchMovies
I don't get it,RepairTalk
movies directed by Stanley Kubrick,LookupDirectors
What current movies are playing?,SearchMovies
that's not what I meant,RepairTalk
good bye,ClosingTalk
that's not what I mean,RepairTalk
PG-11,SearchMovies
what does that mean,RepairTalk
drama,SearchMovies
whatever show me something cool,OtherClass
Current movies,SearchMovies
Where can I see Jurassic World?,CheckShowtimes
show me current action movies,SearchMovies
are there any blockbusters out,SearchMovies
I want to search for actresses,LookupActors
heya,OpeningTalk
drama,SearchMovies
what is the rting for pixels?,OtherClass
I'd like to see a recent movie,SearchMovies
what's playing in the 92708 area,CheckShowtimes
musicals,SearchMovies
kakaman,GiveName
romance,SearchMovies
which ones have good ratings?,OtherClass
Are there any sci-fi movies out?,SearchMovies
What current movies are playing?,SearchMovies
say that again,RepairTalk
got to go,ClosingTalk
NC-17,SearchMovies
I wanna look up movie times,CheckShowtimes
I'd like to see a recent movie,SearchMovies
Salvador,GiveName
signing off,ClosingTalk
start over,RepairTalk
hi,OpeningTalk
buenos dias,OpeningTalk
What current movies are playing?,SearchMovies
I'm interested in directors,LookupDirectors
what were those again?,SearchMovies
Arnold,GiveName
what is your favorite movie,SmallTalk
western upcoming NR,SearchMovies
hmmm... ok maybe action,SearchMovies
Comedy,SearchMovies
thanks watson,ClosingTalk
where do you come from,SmallTalk
Mad Max,OtherClass
NC-17,SearchMovies
upcoming horror movies,SearchMovies
look for movies,SearchMovies
I'd like to see a recent movie,SearchMovies
current pg horror movies,SearchMovies
What current movies are playing?,SearchMovies
do you know about weather,PreSequence
Siri is smarter than you,SmallTalk
come again,RepairTalk
Hello,OpeningTalk
pitch perfect 2,OtherClass
excellent,OtherClass
do you know about weather,PreSequence
hello,OpeningTalk
the wave,OtherClass
